User_name,Open,Concen,Extra,Agree,Neurot,Open.,Self-transc,Self-enhance.,Conser.,Hedonism.
 ur49204805   ,0.68,0.46,0.49,0.3,0.55,0.49,0.17,0.44,0.52,0.29
 ur24390444   ,0.02,0.07,0.99,0.15,0.01,0.36,0.22,0.01,0.53,0.38
 ur35235050   ,0.19,0.3,0.35,0.04,0.14,0.3,0.12,0.62,0.69,0.4
 ur49074014   ,0.83,0.63,0.95,0.05,0.29,0.07,0.06,0.55,0.68,0.25
 ur24122301   ,0.42,0.3,0.47,0.05,0.62,0.59,0.39,0.78,0.66,0.62
 ur51254988   ,0.1,0.31,0.92,0.2,0.15,0.37,0.39,0.03,0.46,0.34
 ur41440152   ,0.16,0.71,0.55,0.01,0.08,0.03,0.08,0.53,0.52,0.52
 ur24674304   ,0.13,0.23,0.77,0.29,0.3,0.46,0.27,0.12,0.36,0.37
 ur38863575   ,0.29,0.14,0.23,0.09,0.2,0.36,0.33,0.47,0.71,0.52
 ur65980536   ,0.26,0.51,0.54,0.53,0.46,0.45,0.37,0.61,0.74,0.74
 ur59982405   ,0.15,0.17,0.22,0.14,0.28,0.56,0.27,0.52,0.8,0.78
 ur22648619   ,0.2,0.42,0.89,0.15,0.02,0.57,0.06,0.05,0.54,0.25
 ur35247235   ,0.52,0.61,0.98,0.68,0.11,0.37,0.2,0.14,0.91,0.31
 ur5408756   ,0.04,0.57,0.89,0.14,0,0.57,0.14,0.01,0.73,0.55
 ur26542405   ,0.27,0.44,0.3,0.05,0.14,0.36,0.1,0.54,0.49,0.34
ur29615467,0.25,0.24,0.3,0.38,0.26,0.44,0.08,0.2,0.34,0.54
 ur55454411   ,0.54,0.64,1,0.75,0.54,0.42,0.3,0.01,0.14,0.07
 ur24981611   ,0.54,0.67,0.6,0.24,0.17,0.58,0.05,0.08,0.35,0.29
 ur40818824   ,0.04,0.19,0.27,0.01,0.04,0.44,0.16,0.3,0.46,0.52
